Language_ID,Feature_ID,IPA,Value
Chechen,fire,c'e,1
Ingush,fire,c'i,1
Bats,fire,c'e,1
Avar,fire,č'a ,1
Akhvakh,fire,č'ari,1
Cham,fire,c'aa,1
Tsez,fire,c'i,1
Xvarshi,fire,c'o,1
Hunzib,fire,c'ə,1
Lak,fire,c'u,1
Dargi,fire,c'a,1
Lezgi,fire,c'aj,1
NTab,fire,c'a,1
Agul,fire,c'a,1
Rutul,fire,c'aj,1
Budux,fire,c'e,1
Archi,fire,oc',1
Udi,fire,arux,1
Xinalug,fire,č'ä,1
Chechen,leave,=it-,2
Ingush,leave,=yt-,2
Bats,leave,=it,2
Avar,leave,=Vta,2
Andi,leave,=eta,2
Cham,leave,=eta,2
Tindi,leave,=eta,2
Lak,leave,=it,2
Dargi,leave,=at,2
NTab,leave,GʕV-a=t,2
STab,leave,ɣi=t,2
Agul,leave,a-t-a,2
Rutul,leave,sa=t,2
Kryz,leave,jV=t(y),2
Archi,leave,abtis,2
Chechen,tooth,cerg,3
Ingush,tooth,carjg,3
Avar,tooth,šibi,3
Andi,tooth,sol,3
Akhvakh,tooth,chilo,3
Cham,tooth,sal,3
Tindi,tooth,salu,3
Xvarshi,tooth,syl,3
Hunzib,tooth,syle,3
Dargi,tooth,cula,3
Lezgi,tooth,sas,3
NTab,tooth,silbi,3
Agul,tooth,sileb,3
Rutul,tooth,sys,3
Tsaxur,tooth,sili,3
Budux,tooth,sil,3
Archi,tooth,sot,3
Udi,tooth,ulux,3
Xinalug,tooth,culoz,3
Chechen,one,cʕa,4
Ingush,one,cʕa,4
Bats,one,cʕa,4
Avar,one,šo,4
Andi,one,se=D,4
Akhvakh,one,če=D,4
Tindi,one,se=D,4
Tsez,one,sis,4
Bezhta,one,hõs,4
Lak,one,ca=D=a,4
Dargi,one,ca,4
Lezgi,one,sad,4
STab,one,sab,4
Agul,one,ssar,4
Rutul,one,sa,4
Tsaxur,one,sa,4
Kryz,one,sa=D,4
Archi,one,os,4
Udi,one,sa,4
Xinalug,one,sa,4
Chechen,take,laac-,5
Ingush,take,laac-,5
Avar,take,=oš(n),5
Cham,take,=Vci,5
Lak,take,las,5
Dargi,take,=u(r)c,5
NTab,take,=i=s,5
Agul,take,fac,5
Archi,take,=sa,5
Chechen,ram,ka,7
Ingush,ram,ka,7
Avar,ram,kwi,7
Andi,ram,kun,7
Cham,ram,kũj,7
Ginux,ram,kuj,7
Lak,ram,ku,7
Dargi,ram,čuja,7
Xinalug,ram,ki,7
Chechen,hand,kyg,8
Ingush,hand,kyljg,8
Bats,hand,ko,8
Avar,hand,kwer,8
Ginux,hand,kwezej,8
Hunzib,hand,koro,8
Lak,hand,kwa,8
NTab,hand,kark,8
Agul,hand,kark,8
Kryz,hand,kyl,8
Archi,hand,kul,8
Udi,hand,kul,8
Xinalug,hand,kul,8
Chechen,pear,qor,9
Ingush,pear,qor,9
Bats,pear,qor,9
Lak,pear,qʕurt,9
Dargi,pear,qʕar,9
Lezgi,pear,čuxwer,9
NTab,pear,ʒaxʕar,9
Agul,pear,ʒexer,9
Rutul,pear,xʕyr,9
Tsaxur,pear,ʒyxʕaa,9
Kryz,pear,ʒühʕür,9
Archi,pear,xʕert,9
Udi,pear,ar,9
Chechen,barley,muq,10
Ingush,barley,muq,10
Avar,barley,oq,10
Tsez,barley,maqa,10
Xvarshi,barley,maqa,10
Lak,barley,qa,10
Dargi,barley,muqe,10
Lezgi,barley,myx,10
NTab,barley,mux,10
Agul,barley,mux,10
Kryz,barley,myx,10
Archi,barley,maxa,10
Udi,barley,mu,10
Xinalug,barley,maqa,10
Chechen,bile,stim,13
Ingush,bile,sim,13
Avar,bile,cim,13
Andi,bile,ssim,13
Tsez,bile,semi,13
Lak,bile,ssi,13
Dargi,bile,sume,13
Agul,bile,sew,13
Archi,bile,ssam,13
Chechen,bull,stu,14
Ingush,bull,ust,14
Bats,bull,pst'u,14
Avar,bull,oš ,14
Andi,bull,unso,14
Tsez,bull,is,14
Bezhta,bull,õs,14
Dargi,bull,unc,14
Agul,bull,jacw,14
Archi,bull,ans,14
Udi,bull,us,14
Chechen,measure,D=ust,15
Ingush,measure,D=yst,15
Avar,measure,=orš(n),15
Andi,measure,=ason,15
Bezhta,measure,-ašah,15
Lak,measure,=uc,15
Dargi,measure,=unc,15
NTab,measure,je=c,15
Agul,measure,alc,15
Rutul,measure,(h)a=cw,15
Budux,measure,se=si,15
Archi,measure,=a=sin,15
Chechen,what,hun,16
Ingush,what,fy,16
Bats,what,vux,16
Avar,what,si=,16
Lak,what,ci,16
Dargi,what,ce,16
Chechen,fill,D=uz,19
Ingush,fill,D=yz,19
Bats,fill,D=uc',19
Avar,fill,č'V,19
Andi,fill,=Vc'i,19
Cham,fill,=c'i,19
Tindi,fill,=ec',19
Bezhta,fill,=oc',19
Lak,fill,=uc',19
Dargi,fill,=irc',19
STab,fill,=ac',19
Agul,fill,ac',19
Rutul,fill,a=c',19
Tsaxur,fill,gja=c',19
Kryz,fill,ʕac',19
Archi,fill,=aa=c'a,19
Xinalug,fill,c'i,19
Chechen,black,ʕaerʒha,20
Ingush,black,ʕaerʒha,20
Bats,black,ʕarch'ĩ,20
Andi,black,D=eč'edir,20
Akhvakh,black,D=ač'ida,20
Tindi,black,D=eč'at'u=D,20
Dargi,black,č'law,20
Udi,black,maʕjin,20
Xinalug,black,mič'ä,20
Chechen,thin,D=utq'a,21
Ingush,thin,D=itq'a,21
Bats,thin,D-utq'ĩ,21
Avar,thin,t'erena=b,21
Akhvakh,thin,b=aƛ'arada,21
Lak,thin,k'uʕlassa,21
Dargi,thin,(=)uk'uliza,21
Lezgi,thin,q'älač',21
NTab,thin,č'illi,21
Agul,thin,k'eller,21
Rutul,thin,q'yldy,21
Tsaxur,thin,q'yʕwa=n,21
Kryz,thin,q'yl,21
Archi,thin,k'alattu=t,21
Xinalug,thin,k'yr,21
Chechen,die,daq'a,22
Ingush,die,daq'a,22
Bats,die,daq'O,22
Andi,die,b=iƛ'a,22
Akhvakh,die,b=iƛ'uruƛa,22
Tsez,die,=iƛ'e,22
Lak,die,=iik',22
Dargi,die,=Vbk',22
NTab,die,=k',22
Agul,die,k'=i,22
Rutul,die,=iq',22
Tsaxur,die,qa=k',22
Budux,die,sa=q'a,22
Archi,die,=k'i,22
Xinalug,die,=k',22
Chechen,heart,dog,23
Ingush,heart,dog,23
Bats,heart,dok',23
Avar,heart,rak',23
Andi,heart,rokw'o,23
Akhvakh,heart,rakw'a,23
Tindi,heart,rakw'a,23
Xvarshi,heart,lok'o,23
Hunzib,heart,rek'u,23
Lak,heart,qqʕuk',23
Dargi,heart,urč'e,23
Lezgi,heart,rik',23
NTab,heart,juk'u,23
Agul,heart,jirk'w,23
Rutul,heart,jik'j,23
Kryz,heart,jik',23
Archi,heart,ikw',23
Udi,heart,uk',23
Xinalug,heart,ung,23
Chechen,axe,dig,24
Ingush,axe,dig,24
Bats,axe,dik',24
Lak,axe,rikw',24
NTab,axe,jak'a,24
STab,axe,juk',24
Agul,axe,jakw',24
Tsaxur,axe,jakw',24
Budux,axe,jok',24
Archi,axe,k'iri,24
Chechen,earth,laatta,26
Ingush,earth,laetta,26
Andi,earth,onšši,26
Akhvakh,earth,ũssi,26
Cham,earth,ũss,26
Tindi,earth,unšši,26
Lak,earth,aʕršši,26
Dargi,earth,ʕanččija,26
NTab,earth,linʒi,26
Udi,earth,oč'ʕi,26
Xinalug,earth,inč'i,26
Chechen,we,txo,27
Ingush,we,txo,27
Bats,we,txo,27
Avar,we,niƛ,27
Andi,we,iƛil,27
Akhvakh,we,iƛƛi,27
Cham,we,iƛi,27
Tsez,we,eli,27
Hunzib,we,ile,27
Dargi,we,nux’x’a,27
NTab,we,ix’u,27
Agul,we,šin,27
